num_processes,avg_arrival_gap,avg_burst,burst_variance,min_burst,max_burst,avg_priority,priority_variance,avg_memory,cpu_load_estimate,regime,fcfs_avg_waiting,fcfs_avg_turnaround,sjf_avg_waiting,sjf_avg_turnaround,srtf_avg_waiting,srtf_avg_turnaround,rr_avg_waiting,rr_avg_turnaround,priority_avg_waiting,priority_avg_turnaround,best_algorithm_by_waiting,best_algorithm_by_turnaround,best_algorithm
6,0.4,14,2,11,15,3,1,561.833,4.941,near_simultaneous_uniform,34.667,48.667,32.833,46.833,32.5,46.5,61.667,75.667,34.5,48.5,SJF,SJF,SJF
9,1.125,19.222,58.395,10,32,2.667,1.778,609.889,4.22,uniform_heavy,67.778,87.0,52.333,71.556,52.333,71.556,105.111,124.333,67.222,86.444,SJF,SJF,SJF
7,0.333,6.714,1.918,5,9,3.286,1.918,651.143,4.273,near_simultaneous_uniform,18.143,24.857,15.857,22.571,15.857,22.571,31.286,38.0,17.571,24.286,SJF,SJF,SJF
39,2,28.154,184.489,1,46,4.949,5.023,563.846,5.0,bursty_mixed,486.436,514.59,355.487,383.641,347.769,375.923,714.769,742.923,460.026,488.179,SJF,SJF,SJF
11,1.1,25.818,228.149,2,49,4.364,3.322,519.182,4.733,bursty_mixed,130.727,156.545,99.636,125.455,80.455,106.273,161.0,186.818,135.455,161.273,SJF,SJF,SJF
27,0.308,8.185,252.447,1,56,1.889,0.84,517.852,3.453,interactive_short,169.593,177.778,71.778,79.963,30.63,38.815,52.852,61.037,78.111,86.296,RR,RR,RR
20,0.105,13.35,2.328,11,15,3.1,1.79,533.85,5.0,near_simultaneous_uniform,126.55,139.9,117.35,130.7,117.35,130.7,223.7,237.05,122.45,135.8,SJF,SJF,SJF
14,0.615,23.214,192.168,4,38,3.929,3.209,432.143,5.0,priority_correlated,162.143,185.357,97.643,120.857,95.071,118.286,193.143,216.357,98.143,121.357,SJF,SJF,SJF
29,1.964,26.241,195.493,3,47,4.862,5.222,525.517,5.0,bursty_mixed,358.31,384.552,233.655,259.897,228.138,254.379,473.31,499.552,331.034,357.276,SJF,SJF,SJF
28,0.963,17.107,135.239,1,40,3.893,2.381,529.214,5.0,priority_anticorrelated,213.643,230.75,146.071,163.179,127.214,144.321,255.607,272.714,309.036,326.143,SJF,SJF,SJF
