num_processes,avg_burst,avg_priority,algorithm,avg_waiting,avg_turnaround
6,14,3,FCFS,34.667,48.667
6,14,3,SJF,32.833,46.833
6,14,3,SRTF,32.5,46.5
6,14,3,RR,61.667,75.667
6,14,3,Priority,34.5,48.5
9,19.222,2.667,FCFS,67.778,87.0
9,19.222,2.667,SJF,52.333,71.556
9,19.222,2.667,SRTF,52.333,71.556
9,19.222,2.667,RR,105.111,124.333
9,19.222,2.667,Priority,67.222,86.444
7,6.714,3.286,FCFS,18.143,24.857
7,6.714,3.286,SJF,15.857,22.571
7,6.714,3.286,SRTF,15.857,22.571
7,6.714,3.286,RR,31.286,38.0
7,6.714,3.286,Priority,17.571,24.286
39,28.154,4.949,FCFS,486.436,514.59
39,28.154,4.949,SJF,355.487,383.641
39,28.154,4.949,SRTF,347.769,375.923
39,28.154,4.949,RR,714.769,742.923
39,28.154,4.949,Priority,460.026,488.179
11,25.818,4.364,FCFS,130.727,156.545
11,25.818,4.364,SJF,99.636,125.455
11,25.818,4.364,SRTF,80.455,106.273
11,25.818,4.364,RR,161.0,186.818
11,25.818,4.364,Priority,135.455,161.273
27,8.185,1.889,FCFS,169.593,177.778
27,8.185,1.889,SJF,71.778,79.963
27,8.185,1.889,SRTF,30.63,38.815
27,8.185,1.889,RR,52.852,61.037
27,8.185,1.889,Priority,78.111,86.296
20,13.35,3.1,FCFS,126.55,139.9
20,13.35,3.1,SJF,117.35,130.7
20,13.35,3.1,SRTF,117.35,130.7
20,13.35,3.1,RR,223.7,237.05
20,13.35,3.1,Priority,122.45,135.8
14,23.214,3.929,FCFS,162.143,185.357
14,23.214,3.929,SJF,97.643,120.857
14,23.214,3.929,SRTF,95.071,118.286
14,23.214,3.929,RR,193.143,216.357
14,23.214,3.929,Priority,98.143,121.357
29,26.241,4.862,FCFS,358.31,384.552
29,26.241,4.862,SJF,233.655,259.897
29,26.241,4.862,SRTF,228.138,254.379
29,26.241,4.862,RR,473.31,499.552
29,26.241,4.862,Priority,331.034,357.276
28,17.107,3.893,FCFS,213.643,230.75
28,17.107,3.893,SJF,146.071,163.179
28,17.107,3.893,SRTF,127.214,144.321
28,17.107,3.893,RR,255.607,272.714
28,17.107,3.893,Priority,309.036,326.143
32,6.375,2.125,FCFS,147.25,153.625
32,6.375,2.125,SJF,58.531,64.906
32,6.375,2.125,SRTF,28.969,35.344
32,6.375,2.125,RR,50.469,56.844
32,6.375,2.125,Priority,70.219,76.594
40,18.7,3.65,FCFS,361.7,380.4
40,18.7,3.65,SJF,205.7,224.4
40,18.7,3.65,SRTF,205.5,224.2
40,18.7,3.65,RR,424.875,443.575
40,18.7,3.65,Priority,479.825,498.525
47,20.532,3.489,FCFS,481.191,501.723
47,20.532,3.489,SJF,292.936,313.468
47,20.532,3.489,SRTF,292.766,313.298
47,20.532,3.489,RR,591.021,611.553
47,20.532,3.489,Priority,604.702,625.234
48,21.104,3.5,FCFS,483.396,504.5
48,21.104,3.5,SJF,337.688,358.792
48,21.104,3.5,SRTF,336.542,357.646
48,21.104,3.5,RR,679.312,700.417
48,21.104,3.5,Priority,343.625,364.729
49,22.571,3.224,FCFS,494.204,516.776
49,22.571,3.224,SJF,404.041,426.612
49,22.571,3.224,SRTF,404.041,426.612
49,22.571,3.224,RR,795.837,818.408
49,22.571,3.224,Priority,514.469,537.041
